source,target,weight
1009356,1009372,10
1009356,1009499,2
1009356,1009609,11
1009356,1010771,0
1009356,1009652,7
1009356,1009389,9
1009356,1009224,24
1009356,1010894,0
1009356,1009288,5
1009356,1009365,32
1009356,1009381,0
1009356,1009267,3
1009356,1011023,0
1009356,1016181,0
1009356,1009608,7
1009356,1009480,2
1009356,1009705,0
1009356,1010738,6
1009356,1009477,10
1009356,1009379,1
1009356,1009312,72
1009356,1009722,0
1009356,1009327,7
1009356,1009577,1
1009356,1009297,8
1009356,1009382,5
1009356,1010373,0
1009356,1009325,7
1009356,1009638,4
1009356,1010354,8
1009662,1009610,168
1009662,1009726,26
1009662,1009368,131
1009662,1009220,127
1009662,1009718,92
1009662,1009165,56
1009662,1009664,109
1009662,1009351,103
1009662,1009299,708
1009662,1009262,51
1009662,1009356,758
1009662,1009257,50
1009662,1009268,4
1009662,1009282,48
1009662,1009629,49
1009662,1009366,683
1009662,1009515,11
1009662,1009175,33
1009662,1009187,47
1009662,1009243,35
1009662,1010791,25
1009662,1009459,527
1009662,1009546,23
1009662,1009592,62
1009662,1009472,29
1009662,1009338,52
1009662,1009362,13
1009662,1009697,28
1009662,1009159,10
1009662,1009189,16
1009662,1009313,10
1009662,1010338,54
1009662,1009562,38
1009662,1009471,29
1009662,1009214,1
1009662,1009583,72
1009662,1009724,0
1009662,1009417,25
1009662,1009512,3
1009662,1009281,138
1009662,1009707,48
1009662,1010852,0
1009662,1009367,24
1009662,1009407,13
1009662,1009708,6
1009662,1011336,0
1009662,1009504,27
1009662,1009310,9
1009662,1010360,0
1009662,1009318,6
1009662,1009215,32
1009662,1009524,28
1009662,1010370,5
1009662,1010892,0
1009662,1009337,4
1009662,1009182,5
1009662,1011299,4
1009662,1011010,0
1009662,1009466,68
1009662,1009508,2
1009662,1011490,20
1009662,1009343,11
1009662,1009219,0
1009662,1009719,16
1009662,1009554,0
1009662,1009452,10
1009662,1011109,0
1009662,1009277,3
1009662,1009372,11
1009662,1009499,2
1009662,1009609,18
1009662,1010771,1
1009662,1009652,16
1009662,1009389,7
1009662,1009224,36
1009662,1010894,0
1009662,1009288,3
1009662,1009365,25
1009662,1009381,2
1009662,1009267,1
1009662,1011023,3
1009662,1016181,0
1009662,1009608,29
1009662,1009480,2
1009662,1009705,0
1009662,1010738,6
1009662,1009477,17
1009662,1009379,4
1009662,1009312,61
1009662,1009722,1
1009662,1009327,7
1009662,1009577,9
1009662,1009297,8
1009662,1009382,5
1009662,1010373,0
1009662,1009325,6
1009662,1009638,4
1009662,1010354,13
1009257,1009610,74
1009257,1009726,755
1009257,1009368,81
1009257,1009220,76
1009257,1009718,523
1009257,1009165,27
1009257,1009664,48
1009257,1009351,48
1009257,1009299,16
1009257,1009262,14
1009257,1009356,50
1009257,1009662,50
1009257,1009268,7
1009257,1009282,16
1009257,1009629,333
1009257,1009366,27
1009257,1009515,5
1009257,1009175,378
1009257,1009187,11
1009257,1009243,319
1009257,1010791,25
1009257,1009459,48
1009257,1009546,185
1009257,1009592,10
1009257,1009472,214
1009257,1009338,27
1009257,1009362,242
1009257,1009697,15
1009257,1009159,195
1009257,1009189,8
1009257,1009313,145
1009257,1010338,5
1009257,1009562,27
1009257,1009471,15
1009257,1009214,61
1009257,1009583,21
1009257,1009724,17
1009257,1009417,144
1009257,1009512,126
1009257,1009281,20
1009257,1009707,25
1009257,1010852,0
1009257,1009367,2
1009257,1009407,6
1009257,1009708,0
1009257,1011336,12
1009257,1009504,186
1009257,1009310,246
1009257,1010360,0
1009257,1009318,5
1009257,1009215,4
1009257,1009524,32
1009257,1010370,3
1009257,1010892,0
1009257,1009337,86
1009257,1009182,93
1009257,1011299,0
1009257,1011010,0
1009257,1009466,29
1009257,1009508,89
1009257,1011490,8
1009257,1009343,5
1009257,1009219,65
1009257,1009719,1
1009257,1009554,33
1009257,1009452,2
1009257,1011109,11
1009257,1009277,26
1009257,1009372,0
1009257,1009499,65
1009257,1009609,3
1009257,1010771,7
1009257,1009652,4
1009257,1009389,5
1009257,1009224,18
1009257,1010894,0
1009257,1009288,3
1009257,1009365,3
1009257,1009381,69
1009257,1009267,38
1009257,1011023,0
1009257,1016181,0
1009257,1009608,2
1009257,1009480,3
1009257,1009705,25
1009257,1010738,25
1009257,1009477,5
1009257,1009379,4
1009257,1009312,11
1009257,1009722,12
1009257,1009327,107
1009257,1009577,0
1009257,1009297,4
1009257,1009382,31
1009257,1010373,0
1009257,1009325,5
1009257,1009638,28
1009257,1010354,11
1009268,1009610,89
1009268,1009726,43
1009268,1009368,11
1009268,1009220,32
1009268,1009718,108
1009268,1009165,13
1009268,1009664,7
1009268,1009351,19
1009268,1009299,5
1009268,1009262,12
1009268,1009356,6
1009268,1009662,4
1009268,1009257,7
1009268,1009282,5
1009268,1009629,9
1009268,1009366,1
1009268,1009515,24
1009268,1009175,7
1009268,1009187,13
1009268,1009243,2
1009268,1010791,3
1009268,1009459,2
1009268,1009546,23
1009268,1009592,1
1009268,1009472,15
1009268,1009338,7
1009268,1009362,11
1009268,1009697,3
1009268,1009159,27
1009268,1009189,7
1009268,1009313,14
1009268,1010338,2
1009268,1009562,2
1009268,1009471,5
1009268,1009214,67
1009268,1009583,3
1009268,1009724,61
1009268,1009417,7
1009268,1009512,49
1009268,1009281,6
1009268,1009707,6
1009268,1010852,0
